LunchType,TestPrep,Gender,ParentMaritalStatus,ParentEduc_associate's degree,ParentEduc_bachelor's degree,ParentEduc_high school,ParentEduc_master's degree,ParentEduc_some college,ParentEduc_some high school,moy
1,0,0,0,0,0,1,0,0,0,46.333333333333336
1,1,0,0,0,0,0,0,1,0,50.333333333333336
0,0,0,0,1,0,0,0,0,0,67.33333333333333
1,0,0,0,0,0,1,0,0,0,37.0
0,0,1,2,0,0,0,0,1,0,78.33333333333333
1,0,1,0,0,0,0,0,1,0,80.0
0,0,1,1,1,0,0,0,0,0,72.0
0,0,1,2,0,0,0,0,1,0,64.33333333333333
0,0,1,1,0,0,0,0,0,1,81.66666666666667
1,0,0,2,0,0,1,0,0,0,32.333333333333336
0,0,0,2,0,0,1,0,0,0,71.33333333333333
1,1,0,0,1,0,0,0,0,0,47.666666666666664
0,0,1,0,0,0,0,0,1,0,87.33333333333333
0,1,0,0,0,0,0,0,0,1,63.0
0,1,1,0,0,0,0,0,1,0,64.66666666666667
1,0,1,1,0,0,0,0,1,0,64.66666666666667
0,0,1,0,0,1,0,0,0,0,64.0
0,0,0,0,0,0,0,0,1,0,71.0
0,1,0,1,0,1,0,0,0,0,72.0
0,0,1,0,1,0,0,0,0,0,90.0
0,1,0,0,0,0,1,0,0,0,51.0
0,1,0,0,0,0,0,0,1,0,94.0
0,0,1,0,0,0,0,0,1,0,65.66666666666667
0,0,1,0,0,0,0,1,0,0,95.66666666666667
1,0,1,0,1,0,0,0,0,0,66.0
0,0,1,1,0,0,0,0,0,1,69.66666666666667
1,1,1,1,1,0,0,0,0,0,89.33333333333333
0,0,0,1,0,0,1,0,0,0,56.0
0,0,0,0,1,0,0,0,0,0,51.333333333333336
0,0,1,0,0,0,0,0,1,0,51.333333333333336
0,1,1,0,0,1,0,0,0,0,99.0
0,0,0,0,0,0,1,0,0,0,78.33333333333333
1,0,1,1,0,1,0,0,0,0,78.0
0,0,1,0,0,1,0,0,0,0,77.33333333333333
0,0,1,1,0,0,0,0,0,1,60.333333333333336
0,0,1,2,0,0,0,0,1,0,63.0
0,1,1,0,0,1,0,0,0,0,84.0
0,1,0,0,1,0,0,0,0,0,88.33333333333333
0,1,1,1,0,0,0,0,1,0,93.0
1,0,0,0,0,0,1,0,0,0,58.666666666666664
0,0,0,1,0,0,0,0,1,0,78.0
0,0,1,1,0,0,1,0,0,0,88.33333333333333
0,0,0,1,0,0,0,1,0,0,76.66666666666667
0,0,0,1,0,0,0,1,0,0,84.33333333333333
1,1,0,1,0,0,0,0,0,1,42.666666666666664
1,1,0,0,0,0,0,0,1,0,78.33333333333333
0,1,1,0,0,0,0,0,1,0,76.0
1,1,0,0,0,1,0,0,0,0,77.33333333333333
0,0,0,0,0,1,0,0,0,0,52.333333333333336
0,1,0,2,0,0,0,0,0,1,48.666666666666664
0,0,0,2,0,0,1,0,0,0,58.333333333333336
0,1,0,0,0,0,0,0,1,0,68.0
0,0,1,0,0,0,0,0,0,1,73.0
1,0,1,0,0,0,0,0,1,0,62.333333333333336
1,1,1,1,0,0,0,0,1,0,49.666666666666664
0,0,0,1,0,0,1,0,0,0,49.0
0,0,0,2,0,0,0,0,1,0,81.0
1,0,1,1,0,0,0,0,1,0,30.666666666666668
0,1,1,0,0,1,0,0,0,0,72.33333333333333
1,1,0,0,1,0,0,0,0,0,98.33333333333333
0,1,0,0,0,0,0,0,0,1,66.0
0,1,1,1,1,0,0,0,0,0,63.0
0,0,0,0,0,1,0,0,0,0,50.0
0,0,0,1,0,0,0,0,0,1,60.333333333333336
0,1,1,0,0,0,0,0,1,0,81.66666666666667
1,1,1,0,0,0,1,0,0,0,73.66666666666667
1,0,0,0,1,0,0,0,0,0,66.33333333333333
1,1,0,1,1,0,0,0,0,0,78.0
1,1,1,0,0,0,0,0,1,0,82.66666666666667
1,0,0,1,0,0,0,1,0,0,51.0
0,0,0,2,0,0,1,0,0,0,51.333333333333336
0,0,1,0,0,0,0,1,0,0,83.66666666666667
0,1,1,0,0,1,0,0,0,0,98.66666666666667
1,1,0,1,0,0,1,0,0,0,51.666666666666664
1,1,1,0,0,0,0,1,0,0,74.66666666666667
0,1,1,0,0,0,1,0,0,0,77.66666666666667
0,1,0,2,0,0,1,0,0,0,76.0
0,0,0,0,0,0,0,0,0,1,84.33333333333333
0,0,1,1,0,0,0,0,1,0,79.33333333333333
0,0,1,0,1,0,0,0,0,0,66.66666666666667
1,1,1,0,0,1,0,0,0,0,47.666666666666664
0,1,1,2,0,0,0,1,0,0,87.33333333333333
1,1,1,0,0,0,1,0,0,0,51.0
0,1,1,0,1,0,0,0,0,0,74.33333333333333
1,1,1,2,0,0,0,1,0,0,63.666666666666664
0,1,1,2,0,0,0,0,0,1,99.66666666666667
1,1,0,1,0,0,0,1,0,0,67.66666666666667
1,0,1,1,0,0,0,0,1,0,58.666666666666664
0,0,1,0,0,0,1,0,0,0,49.0
0,0,1,1,1,0,0,0,0,0,66.0
1,1,0,0,1,0,0,0,0,0,62.666666666666664
0,0,0,0,0,0,1,0,0,0,70.0
0,1,0,0,0,0,0,0,0,1,65.33333333333333
1,0,0,0,0,0,0,0,0,1,47.666666666666664
0,0,1,1,0,1,0,0,0,0,81.66666666666667
0,0,1,0,1,0,0,0,0,0,66.66666666666667
0,1,0,0,0,0,0,0,1,0,77.0
0,0,1,1,0,0,0,0,0,1,64.0
0,1,0,0,0,0,0,0,1,0,68.0
0,0,0,0,1,0,0,0,0,0,55.333333333333336
1,0,0,0,0,0,1,0,0,0,54.666666666666664
1,0,1,3,0,0,0,0,1,0,52.666666666666664
0,1,1,1,1,0,0,0,0,0,78.33333333333333
1,0,1,2,0,0,0,0,1,0,72.33333333333333
0,0,0,0,1,0,0,0,0,0,71.66666666666667
0,0,0,1,0,0,0,0,1,0,46.666666666666664
0,1,0,0,0,0,0,0,0,1,72.0
0,0,0,0,0,1,0,0,0,0,69.66666666666667
0,1,0,0,0,0,1,0,0,0,80.33333333333333
1,0,1,0,0,0,0,0,1,0,76.33333333333333
1,1,0,3,0,0,0,0,0,1,77.0
1,0,1,2,0,0,1,0,0,0,54.666666666666664
1,1,0,1,1,0,0,0,0,0,56.333333333333336
1,1,1,0,1,0,0,0,0,0,83.33333333333333
1,0,0,0,0,0,1,0,0,0,69.0
0,1,0,1,0,0,0,0,0,1,56.0
0,1,1,3,0,0,1,0,0,0,67.0
0,0,0,0,1,0,0,0,0,0,83.0
0,0,0,0,0,0,0,0,0,1,81.66666666666667
0,1,1,2,1,0,0,0,0,0,66.0
1,0,1,0,0,0,0,1,0,0,50.0
0,0,1,0,0,0,0,0,1,0,71.66666666666667
0,0,0,1,0,0,1,0,0,0,54.333333333333336
0,1,1,0,0,0,0,0,1,0,96.0
0,0,0,0,0,0,0,0,1,0,69.66666666666667
0,0,0,0,1,0,0,0,0,0,44.333333333333336
0,0,1,0,0,1,0,0,0,0,78.66666666666667
0,0,0,2,0,0,0,0,0,1,87.0
0,1,0,0,0,1,0,0,0,0,84.33333333333333
0,0,0,0,1,0,0,0,0,0,80.33333333333333
1,0,0,2,0,1,0,0,0,0,64.66666666666667
0,0,0,0,0,0,0,0,1,0,54.333333333333336
1,1,0,2,0,0,1,0,0,0,70.33333333333333
0,0,1,1,0,1,0,0,0,0,83.66666666666667
0,0,0,2,0,0,0,0,0,1,72.0
0,0,0,0,1,0,0,0,0,0,75.0
0,1,1,1,0,0,1,0,0,0,65.33333333333333
0,0,1,0,0,0,1,0,0,0,62.0
0,0,0,0,0,0,1,0,0,0,61.333333333333336
0,1,0,1,0,0,0,0,0,1,48.333333333333336
1,0,1,0,0,0,0,0,1,0,78.33333333333333
0,1,1,1,0,0,0,0,0,1,66.66666666666667
0,0,0,0,0,0,0,1,0,0,77.33333333333333
0,0,0,0,0,0,1,0,0,0,52.666666666666664
0,0,1,1,0,0,0,0,1,0,68.33333333333333
1,0,1,1,1,0,0,0,0,0,66.33333333333333
0,1,0,0,1,0,0,0,0,0,78.66666666666667
1,1,1,0,0,0,0,0,0,1,74.33333333333333
0,1,0,0,0,0,0,0,1,0,78.66666666666667
1,0,1,0,0,0,0,0,0,1,49.0
0,0,1,1,0,0,1,0,0,0,94.0
0,0,0,0,0,0,1,0,0,0,72.33333333333333
1,0,0,2,0,0,0,0,0,1,46.0
0,0,1,0,0,1,0,0,0,0,71.0
0,0,1,0,0,0,1,0,0,0,74.0
0,1,1,0,1,0,0,0,0,0,95.33333333333333
1,0,1,0,0,0,0,0,1,0,72.33333333333333
0,0,0,0,0,1,0,0,0,0,64.33333333333333
1,0,1,1,1,0,0,0,0,0,53.333333333333336
0,0,1,0,0,0,0,0,1,0,68.66666666666667
0,1,0,3,0,0,0,0,1,0,80.66666666666667
0,0,0,0,0,1,0,0,0,0,78.0
0,1,1,0,0,0,0,0,0,1,87.66666666666667
1,0,1,0,0,0,0,0,0,1,77.0
1,0,0,3,0,1,0,0,0,0,62.0
0,0,0,2,0,0,1,0,0,0,46.333333333333336
1,0,1,2,0,1,0,0,0,0,80.33333333333333
0,0,1,0,0,0,0,0,0,1,42.333333333333336
0,1,0,0,1,0,0,0,0,0,79.0
0,1,0,0,1,0,0,0,0,0,90.66666666666667
0,0,1,0,0,0,0,0,0,1,77.0
1,0,0,1,0,1,0,0,0,0,77.33333333333333
0,1,0,0,0,0,0,0,0,1,78.0
0,0,0,0,1,0,0,0,0,0,71.33333333333333
0,0,0,0,0,0,0,0,0,1,74.0
0,1,0,0,0,0,0,0,0,1,58.333333333333336
0,0,1,0,0,1,0,0,0,0,72.0
1,1,0,1,0,0,1,0,0,0,80.0
1,0,0,0,1,0,0,0,0,0,62.0
0,1,0,3,0,0,0,0,0,1,44.0
0,1,0,1,1,0,0,0,0,0,72.33333333333333
1,0,0,0,1,0,0,0,0,0,83.33333333333333
1,1,0,0,0,0,0,0,1,0,76.0
0,1,1,1,1,0,0,0,0,0,76.33333333333333
0,0,0,0,1,0,0,0,0,0,74.66666666666667
0,1,1,0,1,0,0,0,0,0,79.0
0,1,0,2,0,0,0,0,1,0,90.33333333333333
0,0,0,1,0,0,0,0,0,1,49.666666666666664
1,0,1,0,1,0,0,0,0,0,66.33333333333333
0,0,1,0,1,0,0,0,0,0,76.33333333333333
0,0,0,0,0,1,0,0,0,0,58.0
0,1,0,1,0,1,0,0,0,0,65.33333333333333
1,1,1,1,1,0,0,0,0,0,69.33333333333333
0,0,0,0,0,0,1,0,0,0,68.33333333333333
0,1,1,3,0,0,0,1,0,0,80.66666666666667
0,0,0,1,1,0,0,0,0,0,77.66666666666667
0,0,0,0,0,1,0,0,0,0,65.66666666666667
1,0,1,1,1,0,0,0,0,0,60.666666666666664
0,0,1,0,0,0,1,0,0,0,79.0
0,0,1,0,0,0,0,0,1,0,76.66666666666667
1,0,1,0,0,0,0,0,0,1,47.666666666666664
1,0,1,2,0,0,1,0,0,0,42.0
0,0,1,1,0,0,0,0,1,0,88.66666666666667
0,0,0,0,0,0,0,0,1,0,61.333333333333336
1,0,0,0,0,0,0,0,1,0,23.666666666666668
0,1,0,0,1,0,0,0,0,0,78.0
0,0,1,0,0,0,0,0,0,1,47.333333333333336
0,0,0,1,0,0,1,0,0,0,63.333333333333336
0,1,0,0,1,0,0,0,0,0,56.0
0,0,0,1,1,0,0,0,0,0,83.0
1,0,1,0,0,0,0,0,1,0,66.0
0,1,0,0,0,0,0,0,0,1,73.0
0,0,0,1,1,0,0,0,0,0,48.333333333333336
1,0,1,1,0,0,0,0,0,1,28.666666666666668
1,1,1,0,0,0,0,0,0,1,50.0
1,0,0,0,0,0,1,0,0,0,59.0
0,1,0,1,1,0,0,0,0,0,66.33333333333333
0,0,1,0,0,0,1,0,0,0,75.66666666666667
0,1,1,0,0,1,0,0,0,0,88.0
0,0,0,2,1,0,0,0,0,0,82.33333333333333
0,0,1,0,0,1,0,0,0,0,62.0
0,0,0,0,0,0,0,0,1,0,59.0
0,1,1,0,0,0,0,0,1,0,71.66666666666667
0,0,1,0,1,0,0,0,0,0,53.0
0,0,1,0,0,0,0,0,1,0,63.0
0,0,1,1,0,1,0,0,0,0,70.33333333333333
1,1,1,0,0,0,0,0,1,0,57.333333333333336
0,0,1,2,0,0,0,0,1,0,84.0
0,0,1,0,0,0,1,0,0,0,58.0
0,1,0,1,0,0,0,0,0,1,83.66666666666667
0,0,1,1,0,0,0,0,1,0,56.666666666666664
1,0,1,1,0,0,0,0,0,1,30.0
0,0,0,2,0,0,0,0,1,0,59.666666666666664
1,1,0,0,0,1,0,0,0,0,57.333333333333336
0,1,0,0,0,0,1,0,0,0,60.0
1,0,0,0,0,1,0,0,0,0,64.66666666666667
1,0,1,1,0,0,0,0,0,1,55.333333333333336
0,0,1,1,0,0,0,0,0,1,79.33333333333333
0,0,0,0,0,0,0,0,1,0,78.66666666666667
1,1,1,1,0,0,0,0,1,0,62.666666666666664
0,0,0,1,0,0,0,0,0,1,74.66666666666667
0,1,1,0,0,0,0,0,1,0,93.0
0,0,1,0,0,1,0,0,0,0,68.33333333333333
0,0,1,1,0,0,0,0,0,1,85.33333333333333
1,1,1,1,0,0,0,1,0,0,93.33333333333333
0,0,1,1,0,0,0,0,0,1,78.33333333333333
0,0,0,0,0,1,0,0,0,0,64.66666666666667
0,0,1,1,1,0,0,0,0,0,83.0
0,1,0,2,1,0,0,0,0,0,91.66666666666667
1,0,0,0,0,0,0,1,0,0,78.0
1,0,1,2,0,0,0,0,0,1,45.666666666666664
1,0,1,2,0,0,0,0,0,1,38.666666666666664
0,0,1,2,0,0,0,0,1,0,74.0
0,0,1,1,0,1,0,0,0,0,67.0
0,0,1,1,0,0,1,0,0,0,63.333333333333336
0,0,0,0,0,0,0,1,0,0,72.0
1,1,0,1,0,0,0,0,0,1,67.66666666666667
0,0,1,1,0,0,0,0,1,0,71.66666666666667
0,0,0,0,0,0,0,0,1,0,71.33333333333333
0,1,0,2,1,0,0,0,0,0,57.666666666666664
0,1,1,1,0,0,0,0,0,1,72.0
1,0,1,0,0,0,1,0,0,0,58.0
0,0,0,1,0,0,0,0,0,1,64.0
0,0,0,1,0,0,0,0,0,1,54.666666666666664
0,1,1,0,0,0,0,0,0,1,60.666666666666664
1,0,1,0,0,0,0,0,1,0,58.0
0,1,1,1,0,0,1,0,0,0,95.66666666666667
0,0,1,1,0,0,1,0,0,0,59.0
0,0,1,0,0,0,0,0,0,1,67.33333333333333
0,1,0,0,1,0,0,0,0,0,66.33333333333333
1,1,1,2,0,0,1,0,0,0,55.0
0,1,0,3,1,0,0,0,0,0,84.33333333333333
0,1,0,3,0,0,0,0,1,0,83.0
0,0,0,0,1,0,0,0,0,0,65.66666666666667
0,0,0,1,0,0,1,0,0,0,76.66666666666667
0,1,0,0,0,1,0,0,0,0,68.66666666666667
0,0,0,0,1,0,0,0,0,0,69.0
0,0,0,0,0,0,0,0,1,0,64.0
1,1,0,0,0,0,1,0,0,0,55.666666666666664
0,1,1,0,0,0,1,0,0,0,59.0
1,1,1,2,0,0,0,1,0,0,58.0
0,1,1,0,0,0,0,0,0,1,72.66666666666667
1,0,0,0,0,0,0,0,1,0,38.0
1,0,1,1,0,0,0,0,1,0,61.666666666666664
0,0,0,0,0,1,0,0,0,0,86.66666666666667
1,0,0,1,0,0,0,0,0,1,69.66666666666667
1,0,0,0,0,0,0,0,0,1,62.666666666666664
1,0,0,0,1,0,0,0,0,0,61.333333333333336
0,0,1,1,0,0,1,0,0,0,67.66666666666667
0,0,0,1,0,0,1,0,0,0,54.333333333333336
1,0,1,2,0,0,0,0,0,1,50.666666666666664
1,1,0,0,0,0,0,0,1,0,50.333333333333336
0,0,0,0,1,0,0,0,0,0,70.33333333333333
0,1,0,0,0,0,0,0,0,1,86.33333333333333
0,0,1,0,0,0,1,0,0,0,79.66666666666667
1,0,1,0,0,0,0,0,0,1,67.0
1,0,0,0,0,0,0,0,0,1,78.0
0,1,1,2,0,0,0,0,0,1,74.0
0,1,0,1,0,0,1,0,0,0,85.66666666666667
0,0,0,3,0,0,1,0,0,0,45.666666666666664
0,0,0,1,1,0,0,0,0,0,76.66666666666667
1,1,1,2,0,0,0,0,1,0,78.0
0,0,1,0,0,0,0,0,1,0,96.33333333333333
1,0,1,0,1,0,0,0,0,0,74.66666666666667
1,0,0,0,0,0,0,0,1,0,56.333333333333336
1,0,0,0,0,1,0,0,0,0,46.666666666666664
0,0,1,2,0,1,0,0,0,0,85.66666666666667
1,0,0,1,1,0,0,0,0,0,52.333333333333336
0,0,1,0,0,1,0,0,0,0,100.0
1,0,0,0,0,1,0,0,0,0,54.666666666666664
1,0,0,0,0,0,0,0,1,0,51.0
0,0,1,2,0,0,0,0,1,0,70.0
1,0,1,3,0,0,0,0,1,0,86.0
0,1,0,2,0,1,0,0,0,0,65.0
0,0,1,0,0,0,0,0,1,0,87.33333333333333
1,0,1,2,1,0,0,0,0,0,31.666666666666668
1,1,0,0,0,0,1,0,0,0,70.66666666666667
1,1,1,1,0,0,1,0,0,0,85.0
0,0,0,0,0,0,0,0,1,0,81.66666666666667
0,1,1,2,1,0,0,0,0,0,86.0
0,1,1,0,1,0,0,0,0,0,79.33333333333333
0,0,1,0,0,0,0,0,0,1,61.0
0,1,0,1,0,1,0,0,0,0,68.0
0,0,1,1,0,0,0,1,0,0,62.333333333333336
0,0,0,1,1,0,0,0,0,0,72.66666666666667
0,1,0,0,0,0,1,0,0,0,70.66666666666667
1,0,0,0,0,0,0,0,1,0,67.0
0,0,0,2,0,0,1,0,0,0,52.333333333333336
0,0,1,1,1,0,0,0,0,0,51.0
0,0,0,0,0,0,1,0,0,0,69.33333333333333
1,0,0,0,0,0,0,0,1,0,54.666666666666664
1,0,1,0,1,0,0,0,0,0,69.66666666666667
0,1,0,2,0,0,0,0,0,1,58.666666666666664
1,0,1,0,1,0,0,0,0,0,74.66666666666667
0,0,1,0,0,0,0,0,1,0,85.33333333333333
0,0,1,0,0,1,0,0,0,0,84.0
0,0,1,2,0,0,1,0,0,0,61.333333333333336
0,1,0,2,0,0,1,0,0,0,66.0
0,0,1,0,0,0,0,0,1,0,50.666666666666664
0,0,0,0,0,0,0,0,1,0,70.66666666666667
0,0,1,0,0,0,0,1,0,0,79.33333333333333
0,1,1,0,1,0,0,0,0,0,88.66666666666667
1,0,0,2,0,0,0,0,1,0,59.333333333333336
0,1,1,0,1,0,0,0,0,0,95.66666666666667
1,0,1,1,0,0,0,1,0,0,53.0
0,0,1,0,0,0,0,0,0,1,79.0
0,0,0,0,0,0,1,0,0,0,69.33333333333333
0,0,1,0,0,1,0,0,0,0,90.0
0,0,0,0,0,0,0,0,1,0,73.33333333333333
1,0,0,0,0,0,0,0,0,1,53.666666666666664
0,1,1,2,0,0,0,0,0,1,59.666666666666664
1,1,1,1,0,0,0,1,0,0,89.33333333333333
0,1,1,0,0,0,0,0,0,1,82.66666666666667
0,0,1,0,0,0,0,0,1,0,82.33333333333333
0,1,1,2,0,0,0,0,1,0,69.0
0,1,1,1,0,0,0,0,0,1,75.0
1,1,1,0,0,0,1,0,0,0,74.66666666666667
0,0,1,1,1,0,0,0,0,0,87.0
0,0,0,0,0,1,0,0,0,0,62.333333333333336
0,1,0,0,0,0,1,0,0,0,51.333333333333336
0,0,0,1,0,0,0,0,1,0,63.333333333333336
1,1,0,1,0,0,0,0,0,1,57.333333333333336
1,0,1,2,0,0,1,0,0,0,44.0
1,0,1,1,0,1,0,0,0,0,38.0
0,0,1,0,1,0,0,0,0,0,66.66666666666667
0,1,1,0,1,0,0,0,0,0,69.33333333333333
0,0,1,0,0,0,0,0,0,1,49.666666666666664
0,1,0,1,1,0,0,0,0,0,58.666666666666664
0,1,1,0,1,0,0,0,0,0,87.0
0,1,0,0,0,0,1,0,0,0,71.33333333333333
1,1,1,0,0,1,0,0,0,0,77.33333333333333
0,1,0,1,1,0,0,0,0,0,53.333333333333336
0,0,1,0,0,0,1,0,0,0,58.0
0,1,0,0,1,0,0,0,0,0,93.0
0,1,0,0,0,0,1,0,0,0,70.66666666666667
0,0,1,2,1,0,0,0,0,0,80.33333333333333
0,0,1,1,1,0,0,0,0,0,92.0
1,1,0,0,0,0,0,0,0,1,82.0
0,1,1,0,0,0,0,0,0,1,96.33333333333333
0,1,0,2,0,0,1,0,0,0,67.0
1,0,1,0,0,0,1,0,0,0,63.666666666666664
0,0,0,0,0,0,0,1,0,0,72.66666666666667
1,1,0,0,0,1,0,0,0,0,90.0
1,0,0,0,0,0,0,0,1,0,68.66666666666667
0,0,0,2,1,0,0,0,0,0,47.666666666666664
1,0,0,1,0,0,0,1,0,0,67.0
1,0,1,1,1,0,0,0,0,0,62.333333333333336
0,0,0,0,0,0,0,0,0,1,68.0
0,1,1,2,0,0,0,0,1,0,76.0
0,0,1,1,0,0,0,0,1,0,73.0
0,1,0,0,0,1,0,0,0,0,92.0
1,1,1,2,0,0,0,0,1,0,74.33333333333333
1,0,0,0,0,1,0,0,0,0,47.0
0,0,0,2,1,0,0,0,0,0,44.0
1,1,1,1,0,1,0,0,0,0,94.66666666666667
1,1,1,0,0,0,0,1,0,0,71.0
1,0,0,0,0,0,1,0,0,0,52.0
1,0,0,1,0,1,0,0,0,0,69.0
0,0,0,0,0,1,0,0,0,0,90.33333333333333
0,1,0,0,0,0,0,0,1,0,54.666666666666664
0,0,1,0,0,0,1,0,0,0,84.66666666666667
1,1,1,1,0,0,0,0,1,0,54.666666666666664
0,0,1,0,0,0,0,1,0,0,60.0
0,0,1,0,0,0,0,0,0,1,89.0
0,0,1,2,0,0,0,0,0,1,76.33333333333333
1,0,1,3,0,1,0,0,0,0,71.33333333333333
0,1,1,1,1,0,0,0,0,0,77.33333333333333
0,0,1,0,0,0,1,0,0,0,67.0
1,0,1,0,0,1,0,0,0,0,55.666666666666664
0,0,1,1,0,0,0,0,0,1,59.666666666666664
1,0,0,3,0,0,0,0,1,0,54.666666666666664
0,0,0,3,0,0,0,0,0,1,58.666666666666664
0,0,0,0,0,1,0,0,0,0,64.33333333333333
0,1,1,0,0,1,0,0,0,0,98.0
0,1,1,0,0,1,0,0,0,0,70.0
1,0,0,0,0,0,1,0,0,0,23.0
0,0,0,0,0,0,0,0,0,1,50.0
0,0,1,0,0,0,1,0,0,0,74.33333333333333
0,0,1,1,0,0,0,0,0,1,76.0
0,0,1,1,0,0,0,1,0,0,58.333333333333336
0,0,1,2,0,0,1,0,0,0,29.333333333333332
0,0,1,0,0,0,0,0,1,0,78.0
1,0,0,0,0,0,1,0,0,0,56.0
1,1,0,0,0,0,0,1,0,0,85.33333333333333
0,0,0,2,0,0,0,0,0,1,67.33333333333333
1,0,1,0,0,0,0,1,0,0,51.333333333333336
0,0,1,0,1,0,0,0,0,0,61.333333333333336
1,1,0,0,0,0,0,0,1,0,64.0
0,0,1,0,0,0,0,0,1,0,59.333333333333336
0,1,0,0,0,1,0,0,0,0,89.33333333333333
0,0,1,0,1,0,0,0,0,0,89.33333333333333
0,0,1,0,0,0,1,0,0,0,66.66666666666667
0,0,1,1,0,1,0,0,0,0,40.0
0,0,0,0,0,0,0,1,0,0,87.66666666666667
1,1,0,0,1,0,0,0,0,0,65.0
1,0,1,1,0,0,1,0,0,0,50.666666666666664
1,1,0,0,0,0,1,0,0,0,54.333333333333336
0,1,0,2,0,0,0,0,1,0,91.33333333333333
1,0,1,0,0,1,0,0,0,0,59.666666666666664
0,1,0,0,0,0,0,0,1,0,98.0
1,1,0,2,1,0,0,0,0,0,65.0
0,0,0,2,1,0,0,0,0,0,51.666666666666664
1,0,0,0,0,0,0,0,1,0,51.333333333333336
0,1,1,0,0,0,0,0,0,1,50.666666666666664
0,0,0,1,0,0,0,0,1,0,65.0
0,0,0,3,0,0,1,0,0,0,69.0
0,1,1,0,0,1,0,0,0,0,74.66666666666667
0,0,1,0,0,0,1,0,0,0,82.66666666666667
0,0,0,0,0,0,1,0,0,0,69.66666666666667
0,1,1,1,0,0,0,0,0,1,82.66666666666667
0,0,0,1,0,0,1,0,0,0,48.666666666666664
1,0,1,0,0,0,0,0,0,1,73.33333333333333
0,1,1,1,0,0,1,0,0,0,79.33333333333333
0,0,0,1,0,0,1,0,0,0,63.0
0,1,1,0,0,1,0,0,0,0,73.33333333333333
0,0,1,0,1,0,0,0,0,0,67.0
